domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
bytedge.io,Buy,8.65,1800,"A coined_tech_brandable Buy with a strong tech-related stem and solid score, priced slightly above baseline for .io Buy domains due to its clear tech innovation appeal.",coined_tech_brandable,20260106T213659Z,"Combines 'byte' and 'edge' to evoke tech innovation and cutting-edge solutions, making it memorable and fitting for the .io TLD popular in tech.",true
gowhite.io,Buy,8.648,1500,"A two_word_descriptive Buy with a clear call-to-action phrase and good score, priced at baseline mid-range for .io Buy domains reflecting its clarity and brandability.",two_word_descriptive,20260108T021554Z,"A clear two-word imperative phrase that is easy to remember and brand, suitable for sustainability or eco-focused tech ventures with a strong call to action.",true
newaudit.ai,Buy,8.648,1400,"A two_word_descriptive Buy with clear AI relevance and a strong .ai TLD, priced at baseline mid-range for .ai Buy domains given its direct niche appeal.",two_word_descriptive,20260107T203000Z,"Direct and descriptive for AI-powered auditing services, combining clarity and relevance with the .ai TLD enhancing its niche appeal.",true
agentalign.io,Buy,8.6473,1400,"A two_word_descriptive Buy with a professional tone and appropriate .io TLD, priced at baseline mid-range for .io Buy domains reflecting its solid brandability.",two_word_descriptive,20260108T025946Z,"Suggests alignment or coordination of agents, suitable for SaaS or CRM platforms, with a professional tone and appropriate .io tech extension.",true
catalogbase.com,Buy,8.6457,1500,"A two_word_descriptive Buy with clear commercial appeal on a premium .com TLD, priced at baseline mid-range for .com Buy domains given its clarity and length.",two_word_descriptive,20260108T025946Z,"Clear and descriptive two-word name indicating a foundational platform for catalogs, well-suited for a .com with broad commercial appeal.",true
solidalign.io,Buy,8.6453,1700,"A coined_tech_brandable Buy with a strong, memorable blend and solid score, priced slightly above baseline for .io Buy domains due to its tech appeal and brandability.",coined_tech_brandable,20260106T191303Z,"A coined blend suggesting strong alignment or integration, memorable and fitting for tech or SaaS products with a professional tone.",true
getcash.io,Buy,8.6453,1500,"A two_word_descriptive Buy with a clear fintech focus and strong call-to-action, priced at baseline mid-range for .io Buy domains reflecting its clarity and relevance.",two_word_descriptive,20260104T031952Z,"A clear, action-oriented two-word name that is easy to remember and suitable for fintech or lending platforms, well-aligned with the .io tech audience.",true
buildbounty.com,Buy,8.6437,1500,"A two_word_descriptive Buy with strong brand potential and excellent .com suitability, priced at baseline mid-range for .com Buy domains given its clarity and commercial appeal.",two_word_descriptive,20260108T025946Z,"Clear and descriptive two-word name that suggests a platform related to rewards or projects, with strong brand potential and excellent .com suitability.",true
newalign.ai,Buy,8.6437,1400,"A two_word_descriptive Buy with concise, modern appeal and fitting .ai TLD, priced at baseline mid-range for .ai Buy domains reflecting its clarity and tech relevance.",two_word_descriptive,20260106T191303Z,"Concise and modern name implying innovation and alignment, well-suited for AI or tech startups, with a fitting .ai TLD.",true
bountyedge.com,Buy,8.6398,1350,"As a Buy two_word_descriptive .com with a strong, clear concept and a score in the mid-upper range, this 10-character name is priced at the baseline mid-range for its grade and TLD.",two_word_descriptive,20260108T021554Z,"Strong, descriptive combination suggesting competitive advantage or rewards, memorable and fitting for a tech or business platform on .com.",true
bluebeam.io,Buy,8.6398,1500,"This Buy two_word_descriptive .io name has a catchy, memorable combination and a solid score, so it is priced in the mid-to-upper part of the .io baseline range for its grade and length.",two_word_descriptive,20260104T031952Z,"Evocative and easy to remember, combining a color and a strong noun; well-suited for tech or creative applications with a trendy .io TLD.",true
cleartrue.io,Buy,8.6363,1500,"With positive, trustworthy connotations and a Buy grade, this 9-character two_word_descriptive .io is priced mid-to-upper range within its TLD and grade band.",two_word_descriptive,20260107T203000Z,"Strong, positive connotations with clarity and truth, making it a trustworthy and memorable brand for tech or SaaS on the .io TLD.",true
solidblue.io,Buy,8.6339,1500,"Strong, stable theme and a Buy grade place this 9-character two_word_descriptive .io domain in the mid-to-upper price range for its category and TLD.",two_word_descriptive,20260108T025946Z,"Evokes stability and trustworthiness with a simple two-word structure, ideal for tech companies and well matched with the .io extension.",true
agentcash.io,Buy,8.6296,1400,Clear fintech-related two_word_descriptive .io with a Buy grade and solid score; priced slightly below mid-range reflecting the niche appeal and TLD.,two_word_descriptive,20260106T231149Z,"Clear two-word descriptive name combining 'agent' and 'cash', suitable for fintech or sales platforms; the .io TLD fits tech-oriented brands but slightly less mainstream for finance.",true
newbase.io,Buy,8.6265,1600,"A short, coined_tech_brandable .io with a Buy grade and strong score; priced slightly above baseline reflecting its brevity and tech startup appeal.",coined_tech_brandable,20260107T203000Z,"Short, easy to pronounce and remember, 'newbase' suggests a fresh foundation or platform, fitting well with tech startups; .io enhances its tech appeal.",true
